Optimization algorithm: adam
eopch=0
total_batch=1082
step=1 ,loss=5.40063, auc=0.50000
step=62 ,loss=0.35495, auc=0.50732
step=63 ,loss=0.63795, auc=0.50627
step=64 ,loss=0.43965, auc=0.50589
step=65 ,loss=0.14189, auc=0.50698
step=66 ,loss=0.23461, auc=0.50813
step=67 ,loss=0.24561, auc=0.50797
step=68 ,loss=0.20002, auc=0.50863
step=69 ,loss=0.45637, auc=0.50716
step=70 ,loss=0.30754, auc=0.50707
step=71 ,loss=0.36423, auc=0.50815
step=72 ,loss=0.16029, auc=0.50924
step=73 ,loss=0.27936, auc=0.50959
step=74 ,loss=0.20224, auc=0.51016
step=75 ,loss=0.40494, auc=0.50914
step=76 ,loss=0.27942, auc=0.50926
step=77 ,loss=0.19356, auc=0.50885
step=78 ,loss=0.21302, auc=0.50788
step=79 ,loss=0.63507, auc=0.50783
step=80 ,loss=0.45610, auc=0.50644
step=81 ,loss=0.37477, auc=0.50660
step=82 ,loss=0.10281, auc=0.50645
step=83 ,loss=0.12856, auc=0.50619
step=84 ,loss=0.24587, auc=0.50667
step=85 ,loss=0.33629, auc=0.50722
step=86 ,loss=0.43169, auc=0.50754
step=87 ,loss=0.33365, auc=0.50693
step=88 ,loss=0.81266, auc=0.50503
step=89 ,loss=0.50418, auc=0.50394
step=90 ,loss=0.13521, auc=0.50434
step=91 ,loss=0.20611, auc=0.50445
step=92 ,loss=0.22948, auc=0.50414
step=93 ,loss=0.18125, auc=0.50345
step=94 ,loss=0.45383, auc=0.50328
step=95 ,loss=0.33028, auc=0.50454
step=96 ,loss=0.22695, auc=0.50534
step=97 ,loss=0.34177, auc=0.50536
step=98 ,loss=0.18909, auc=0.50592
step=99 ,loss=0.36765, auc=0.50591
step=100 ,loss=0.39084, auc=0.50572
step=101 ,loss=0.20119, auc=0.50578
step=102 ,loss=0.50581, auc=0.50563
step=103 ,loss=0.33177, auc=0.50784
step=104 ,loss=0.09930, auc=0.50772
step=105 ,loss=0.34345, auc=0.50641
step=106 ,loss=0.18529, auc=0.50597
step=107 ,loss=0.39705, auc=0.50600
step=108 ,loss=0.31960, auc=0.50638
step=109 ,loss=0.25025, auc=0.50693
step=110 ,loss=0.17581, auc=0.50769
step=111 ,loss=0.39970, auc=0.50849
step=112 ,loss=0.34860, auc=0.50704
step=113 ,loss=0.33123, auc=0.50554
step=114 ,loss=0.59018, auc=0.50489
step=115 ,loss=0.32129, auc=0.50498
step=116 ,loss=0.25650, auc=0.49663
step=117 ,loss=0.34342, auc=0.49878
step=118 ,loss=0.32476, auc=0.49883
step=119 ,loss=0.36288, auc=0.49841
step=120 ,loss=0.39320, auc=0.49862
step=121 ,loss=0.10914, auc=0.49881
step=122 ,loss=0.48180, auc=0.49822
step=123 ,loss=0.20252, auc=0.49837
step=124 ,loss=0.61389, auc=0.49782
step=125 ,loss=0.29072, auc=0.49802
step=126 ,loss=0.32901, auc=0.49827
step=127 ,loss=0.29874, auc=0.49793
step=128 ,loss=0.21375, auc=0.49840
step=129 ,loss=0.44495, auc=0.49768
step=130 ,loss=0.27083, auc=0.49715
step=131 ,loss=0.43800, auc=0.49624
step=132 ,loss=0.22526, auc=0.49711
step=133 ,loss=0.35830, auc=0.49761
step=134 ,loss=0.47583, auc=0.49548
step=135 ,loss=0.16392, auc=0.49639
step=136 ,loss=0.20433, auc=0.49784
step=137 ,loss=0.27222, auc=0.49787
step=138 ,loss=0.30840, auc=0.49961
step=139 ,loss=0.21885, auc=0.49960
step=140 ,loss=0.29158, auc=0.49913
step=141 ,loss=0.32645, auc=0.49855
step=142 ,loss=0.41920, auc=0.49813
step=143 ,loss=0.19809, auc=0.49853
step=144 ,loss=0.27875, auc=0.49945
step=145 ,loss=0.16393, auc=0.49923
step=146 ,loss=0.19696, auc=0.49978
step=147 ,loss=0.36214, auc=0.49927
step=148 ,loss=0.30782, auc=0.49943
step=149 ,loss=0.34038, auc=0.49942
step=150 ,loss=0.18422, auc=0.50009
step=151 ,loss=0.15436, auc=0.50032
step=152 ,loss=0.12112, auc=0.50107
step=153 ,loss=0.39584, auc=0.50103
step=154 ,loss=0.21050, auc=0.50217
step=155 ,loss=0.13432, auc=0.50271
step=156 ,loss=0.33712, auc=0.50295
step=157 ,loss=0.19256, auc=0.50457
step=158 ,loss=0.17977, auc=0.50618
step=159 ,loss=0.32585, auc=0.50641
step=160 ,loss=0.52016, auc=0.50493
step=161 ,loss=0.46591, auc=0.50396
step=162 ,loss=0.55754, auc=0.50322
step=163 ,loss=0.34714, auc=0.50301
step=164 ,loss=0.40095, auc=0.50279
step=165 ,loss=0.29613, auc=0.50314
step=166 ,loss=0.28360, auc=0.50371
step=167 ,loss=0.25279, auc=0.50399
step=168 ,loss=0.29797, auc=0.50363
step=169 ,loss=0.19973, auc=0.50364
step=170 ,loss=0.37676, auc=0.50392
step=171 ,loss=0.14806, auc=0.50424
step=172 ,loss=0.37704, auc=0.50439
step=173 ,loss=0.39681, auc=0.50462
step=174 ,loss=0.15021, auc=0.50481
step=175 ,loss=0.46252, auc=0.50468
step=176 ,loss=0.40302, auc=0.50513
step=177 ,loss=0.40548, auc=0.50454
step=178 ,loss=0.25719, auc=0.50570
step=179 ,loss=0.37557, auc=0.50623
step=180 ,loss=0.23198, auc=0.50574
step=181 ,loss=0.34581, auc=0.50607
step=182 ,loss=0.23316, auc=0.50675
step=183 ,loss=0.36800, auc=0.50735
step=184 ,loss=0.52156, auc=0.50689
step=185 ,loss=0.20171, auc=0.50674
step=186 ,loss=0.07983, auc=0.50696
step=187 ,loss=0.47301, auc=0.50737
step=188 ,loss=0.18448, auc=0.50759
step=189 ,loss=0.27092, auc=0.50675
step=190 ,loss=0.13626, auc=0.50710
step=191 ,loss=0.36720, auc=0.50798
step=192 ,loss=0.55919, auc=0.50727
step=193 ,loss=0.20001, auc=0.50721
step=194 ,loss=0.33455, auc=0.50730
step=195 ,loss=0.21825, auc=0.50706
step=196 ,loss=0.27139, auc=0.50701
step=197 ,loss=0.19592, auc=0.50701
step=198 ,loss=0.21052, auc=0.50712
step=199 ,loss=0.06549, auc=0.50739
step=200 ,loss=0.23959, auc=0.50700
step=201 ,loss=0.43568, auc=0.50640
step=202 ,loss=0.45806, auc=0.50603
step=203 ,loss=0.25235, auc=0.50541
step=204 ,loss=0.33874, auc=0.50532
step=205 ,loss=0.67291, auc=0.50363
step=206 ,loss=0.32958, auc=0.50459
step=207 ,loss=0.24831, auc=0.50466
step=208 ,loss=0.34070, auc=0.50429
step=209 ,loss=0.23948, auc=0.50458
step=210 ,loss=0.31882, auc=0.50454
step=211 ,loss=0.30881, auc=0.50542
step=212 ,loss=0.43285, auc=0.50505
step=213 ,loss=0.45144, auc=0.50557
step=214 ,loss=0.08272, auc=0.50559
step=215 ,loss=0.24557, auc=0.50578
step=216 ,loss=0.19942, auc=0.50592
step=217 ,loss=0.26359, auc=0.50601
step=218 ,loss=0.22159, auc=0.50613
step=219 ,loss=0.34454, auc=0.50626
step=220 ,loss=0.56806, auc=0.50530
step=221 ,loss=0.28602, auc=0.50494
step=222 ,loss=0.42155, auc=0.50487
step=223 ,loss=0.22552, auc=0.50533
step=224 ,loss=0.48941, auc=0.50433
step=225 ,loss=0.34072, auc=0.50478
step=226 ,loss=0.27620, auc=0.50547
step=227 ,loss=0.23366, auc=0.50578
step=228 ,loss=0.37259, auc=0.50478
step=229 ,loss=0.23484, auc=0.50518
st
